,address,description,vsn,latitude,longitude
0,State St & Jackson Blvd Chicago IL,AoT Chicago (S) [C],004,-87.627678,41.878377
1,TBD,AoT UNC (S) [C],005,0.0,0.0
2,18th St & Lake Shore Dr Chicago IL,AoT Chicago (S),006,-87.616055,41.858136
3,TBD,AoT Denver (S),008,0.0,0.0
4,TBD,AoT Denver - Panasonic (S) [CA],009,0.0,0.0
5,Cornell & 47th St Chicago IL,AoT Chicago (S),00D,-87.590228,41.810342
6,Ohio St & Grand Ave Chicago IL,AoT Chicago (S) [C],010,-87.611603,41.891964
7,Stony Island Ave & 63rd St Chicago IL,AoT Chicago (S) [C],018,-87.586456,41.7806
8,"7801 S Lawndale Ave, Chicago",AoT Chicago (S) [C] {ComEd},01C,-87.71299,41.751238
9,Damen Ave & Cermak Chicago IL,AoT Chicago (S),01D,-87.675825,41.852179
10,TBD,AoT Node (S) {NIU},01E,0.0,0.0
11,State St & 87th Chicago IL,AoT Chicago (S) [C],01F,-87.624179,41.736314
12,Western Ave & 69th St Chicago IL,AoT Chicago (S) [C],020,-87.683396,41.768319
13,Western Ave & 18th St Chicago IL,AoT Chicago (S),025,-87.685806,41.857797
14,Jeffrey Ave & 95th St Chicago IL,AoT Chicago (S) [C],02A,-87.57535,41.722457
15,TBD,UW (T),02B,0.0,0.0
16,Martin Luther King Dr & 87th St Chicago IL,AoT Chicago (S) [C],02C,-87.614529,41.736495
17,Damen Ave & Wilson Ave Chicago IL,AoT Chicago (S) [C],02D,-87.679076,41.965089
18,Sheridan Rd & Granville Ave Chicago IL,AoT Chicago (S) [C],02F,-87.655523,41.994597
19,Halsted St & 34th St Chicago IL,AoT Chicago (S) [C],030,-87.646133,41.832579
20,Wood St & Warren Blv Chicago IL,AoT Chicago (S) [C],032,-87.671773,41.882304
21,TBD,AoT Denver - Panasonic (S) [CA],033,0.0,0.0
22,Milwaukee Ave & Wabansia Ave Chicago IL,AoT Chicago (S),034,-87.681052,41.912681
23,TBD,AoT Node (S) {NIU},035,0.0,0.0
24,Martin Luther King Dr & 83rd St Chicago IL,AoT Chicago (S),037,-87.614732,41.743814
25,Damen Ave & Archer Chicago IL,AoT Chicago (S),038,-87.675311,41.831827
26,Campbell Ave & Addison St Chicago IL,AoT Chicago (S),039,-87.69068,41.94672
27,Kedzie Ave & 5th Ave Chicago IL,AoT Chicago (S),03C,-87.706042,41.878372
28,Halsted St & Randolph St Chicago IL,AoT Chicago (S),03D,-87.647431,41.88431
29,606 Path & Milwaukee Ave Chicago IL,AoT Chicago (S),03E,-87.683048,41.914202
30,Pulaski Rd & Madison St Chicago IL,AoT Chicago (S),03F,-87.72566,41.880732
31,Lake Shore Drive & 85th St Chicago IL,AoT Chicago (S),040,-87.54045,41.741148
32,Western Ave & Madison St Chicago IL,AoT Chicago (S),041,-87.686359,41.881172
33,TBD,AoT UNC (S) [C],044,0.0,0.0
34,TBD,AoT Denver - Panasonic (S) [CA],045,0.0,0.0
35,TBD,AoT Denver - Panasonic (S) [CA],046,0.0,0.0
36,TBD,AoT UNC (S) [C],047,0.0,0.0
37,Damen Ave & Webster Chicago IL,AoT Chicago (S) [C],048,-87.677766,41.921405
38,Western Ave & 25th St Chicago IL,AoT Chicago (S) [C],04C,-87.685557,41.846579
39,Leavitt St & Milwaukee Ave Chicago IL,AoT Chicago (S),04D,-87.682414,41.913583
40,Damen Ave & Chicago International Produce Market Chicago IL,AoT Chicago (S),04E,-87.673061,41.846897
41,Ashland Ave & 18th St Chicago IL,AoT Chicago (S),04F,-87.666144,41.857775
42,Ashland Ave & Division St Chicago IL,AoT Chicago (S),050,-87.6674,41.903335
43,Cottage Grove Ave & 79th St Chicago IL,AoT Chicago (S) [C],051,-87.605288,41.751295
44,Ashland & 63rd St Chicago IL,AoT Chicago (S) [C],052,-87.664421,41.779369
45,Racine Ave & 18th St Chicago IL,AoT Chicago (S) [C],053,-87.656427,41.857959
46,TBD,AoT UNC (S) [C],055,0.0,0.0
47,Long Ave & Fullerton Ave Chicago IL,AoT Chicago (S) [C],056,-87.761072,41.923996
48,TCS 4302,AoT Chicago (S) [C] {ComEd},057,-87.982901,41.718008
49,Fort Dearborn Dr & 31st St Chicago IL,AoT Chicago (S) [C],05A,-87.607817,41.838618
50,TBD,AoT Denver - Panasonic (S) [CA],05B,0.0,0.0
51,TBD,AoT Denver - Panasonic (S) [CA],05C,0.0,0.0
52,Pulaski Rd & Chicago Ave Chicago IL,AoT Chicago (S) [C],05D,-87.726064,41.895355
53,TBD,AoT Denver - Panasonic (S) [CA],05F,0.0,0.0
54,TBD,AoT Syracuse (S) [CA],060,0.0,0.0
55,Ashland Ave & Roosevelt Rd Chicago IL,AoT Chicago (S) [C],062,-87.666306,41.866786
56,TBD,AoT Stanford (S) [C],063,0.0,0.0
57,TBD,AoT Portland (S) [CA],064,0.0,0.0
58,TBD,AoT Portland (S) [CA],065,0.0,0.0
59,TBD,AoT Portland (S) [CA],066,0.0,0.0
60,Ashland Ave & 47th Chicago IL,AoT Chicago (S) [C],067,-87.665048,41.808594
61,TBD,AoT Seattle (S) [C],069,0.0,0.0
62,Clybourn Ave & North Ave Chicago IL,AoT Chicago (S) [C],06A,-87.649518,41.910922
63,Ashland Ave & 59th St Chicago IL,AoT Chicago (S) [C],06B,-87.664343,41.786756
64,TBD,AoT Seattle (S) [C],06C,0.0,0.0
65,Hutchinson Commons UChicago Chicago IL,AoT Chicago (S) [C] {UChicago},06D,-87.598677,41.791329
66,UChicago Chicago IL,AoT Chicago (S) [C] {UChicago},06E,-87.59913,41.78843
67,TBD,AoT Seattle (S) [C],06F,0.0,0.0
68,7801 S Lawndale Ave Chicago IL,AoT Chicago (S) [CA] {ComEd},070,-87.71299,41.751142
69,Ratner Hall UChicago Chicago IL,AoT Chicago (S) [C] {UChicago},071,-87.601646,41.794167
70,7801 S Lawndale Ave Chicago IL,AoT Chicago (S) [CA] {ComEd},072,-87.71299,41.751142
71,Martin Luther King Dr & Garfield Blvd Chicago IL,AoT Chicago (S) [C],073,-87.615957,41.794477
72,Milwaukee Ave & Wood St Chicago IL,AoT Chicago (S) [C],075,-87.671373,41.906481
73,Lake Shore Drive & Irving Park Rd Chicago IL,AoT Chicago (S) [C],076,-87.645248,41.954825
74,Martin Luther King Dr & 35th St Chicago IL,AoT Chicago (S) [C],077,-87.617298,41.83107
75,Ashland Ave & Elston Ave Chicago IL,AoT Chicago (S) [C],079,-87.668257,41.918733
76,Lake Shore Drive & Fullerton Ave Chicago IL,AoT Chicago (S) [C],07C,-87.631533,41.92617
77,Cicero Ave & Madison St Chicago IL,AoT Chicago (S) [C],07E,-87.745268,41.880497
78,Damen Ave & Polk St Chicago IL,AoT Chicago (S) [C],07F,-87.67644,41.87148
79,Broadway Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [C],080,-87.659672,41.96904
80,Wallace St & Pershing Rd Chicago IL,AoT Chicago (S) [C],081,-87.641054,41.823527
81,Pulaski Rd & Addison St Chicago IL,AoT Chicago (S) [C],082,-87.727382,41.946373
82,TBD,AoT Stanford (S) [C],084,0.0,0.0
83,Ashland Ave & 79th St Chicago IL,AoT Chicago (S) [C],085,-87.663518,41.75034
84,Damen Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [C],086,-87.679174,41.968757
85,Cottage Grove Ave & 87th St Chicago IL,AoT Chicago (S) [C],087,-87.604759,41.736593
86,Clark St & Wilson Ave Chicago IL,AoT Chicago (S) [C],088,-87.66672,41.965256
87,Chicago Ave & Noble St Chicago IL,AoT Chicago (S) [C],089,-87.662391,41.896157
88,TBD,AoT Stanford (S) [C],08A,0.0,0.0
89,UChicago Chicago IL,AoT Chicago (S) [C] {UChicago},08B,-87.598713,41.788608
90,Western Ave & Fullerton Ave Chicago IL,AoT Chicago (S) [C],08C,-87.687703,41.924903
91,Cicero Ave & Chicago Ave Chicago IL,AoT Chicago (S) [C],08D,-87.745817,41.895005
92,Cottage Grove Ave & 111th St Chicago IL,AoT Chicago (S) [C],08E,-87.609852,41.692769
93,Clark St & Montrose Ave Chicago IL,AoT Chicago (S) [C],08F,-87.665948,41.961622
94,Milwaukee & Belmont Chicago IL,AoT Chicago (S) [C],090A,-87.723801,41.939121
95,Elston and Cortland Chicago IL,AoT Chicago (S) [C],090B,-87.666406,41.916586
96,Halsted St & Division St Chicago IL,AoT Chicago (S) [C],091A,-87.648093,41.903632
97,TBD,AoT Denver - Panasonic (S) [CA],091B,0.0,0.0
98,Kedzie Ave & 51st St Chicago IL,AoT Chicago (S) [C],092,-87.703739,41.800846
99,Ave O & 126th Chicago IL,AoT Chicago (S) [C],095,-87.539374,41.666078
100,Ave L & 100th St Chicago IL,AoT Chicago (S) [C],096,-87.536509,41.713867
101,Pulaski Rd & 71st St Chicago IL,AoT Chicago (S) [C],097,-87.72242,41.764122
102,Lake Shore Drive & Irving Park Rd Chicago IL,AoT Chicago (S) [C],098,-87.645248,41.954825
103,State St & Monroe St Chicago IL,AoT Chicago (S) [C],09B,-87.62775,41.88076
104,State St & Randolph St Chicago IL,AoT Chicago (S) [C],09C,-87.627864,41.884688
105,Ashland Ave & 31st Pl Chicago IL,AoT Chicago (S) [C],09D,-87.665685,41.839066
106,TBD,AoT Syracuse (S) [C],09E,0.0,0.0
107,Michigan Ave & Randolph St Chicago IL,AoT Chicago (S) [C],0A0,-87.624577,41.884607
108,Halsted St & 99th St Chicago IL,AoT Chicago (S) [C],0A1,-87.643099,41.714494
109,Western Ave & Addison St Chicago IL,AoT Chicago (S) [C],0A2,-87.688326,41.947066
110,Long Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [P],0A3,-87.76257,41.96759
111,Western Ave & Roscoe Ave Chicago IL,AoT Chicago (S) [P],0A4,-87.688069,41.943263
112,Ashland Ave & Washington Chicago IL,AoT Chicago (S) [P],0A5,-87.666748,41.883541
113,N Wells St & W Washington St Chicago IL ,AoT Chicago (S) [P],0A6,-87.63387,41.88326
114,Upper Wacker Dr & Randolph St Chicago IL,AoT Chicago (S) [P],0A7,-87.636955,41.88449
115,TBD,AoT Syracuse (S) [CP],0A8,0.0,0.0
116,Dearborn St & Lake St Chicago IL,AoT Chicago (S) [P],0AA,-87.62969,41.88575
117,Lake Shore Drive & Fullerton Ave Chicago IL,AoT Chicago (S) [C],0AC,-87.631533,41.92617
118,Georgia Tech,AoT GA Tech (S) [CP],0AD,84.3963,33.7756
119,Georgia Tech,AoT GA Tech (S) [CP],0C1,84.3963,33.7756
120,"UChicago, Regenstine Chicago IL",AoT Chicago (S) [C] {UChicago},890,-87.600008,41.792543
121,TBD,AoT Detroit (S),DET1,0.0,0.0
122,TBD,AoT Detroit (S),DET10,0.0,0.0
123,TBD,AoT Detroit (S),DET11,0.0,0.0
124,TBD,AoT Detroit (S),DET12,0.0,0.0
125,TBD,AoT Detroit (S),DET13,0.0,0.0
126,TBD,AoT Detroit (S),DET14,0.0,0.0
127,TBD,AoT Detroit (S),DET15,0.0,0.0
128,TBD,AoT Detroit (S),DET16,0.0,0.0
129,TBD,AoT Detroit (S),DET2,0.0,0.0
130,TBD,AoT Detroit (S),DET3,0.0,0.0
131,TBD,AoT Detroit (S),DET4,0.0,0.0
132,TBD,AoT Detroit (S),DET5,0.0,0.0
133,TBD,AoT Detroit (S),DET6,0.0,0.0
134,TBD,AoT Detroit (S),DET7,0.0,0.0
135,TBD,AoT Detroit (S),DET8,0.0,0.0
136,TBD,AoT Detroit (S),DET9,0.0,0.0
137,TBD,Ugly Kit at NIU,NIUU01,0.0,0.0
